model,dataset,recall@1,recall@5,recall@10,flops,sparsity,memory
TAT-VPR-CLS,Tokyo247,67.61904761904762,82.53968253968253,87.61904761904762,35215556250.0,0.0,29.76910400390625
TAT-VPR-CLS,Eynsham,84.38270315437644,91.66910382285356,93.4447461875914,35215556250.0,0.0,29.76910400390625
TAT-VPR-CLS,Tokyo247,67.61904761904762,82.53968253968253,87.3015873015873,32718473216.4,0.1,29.76910400390625
TAT-VPR-CLS,Eynsham,84.4620848130353,91.65656987674951,93.51159390014622,32718473216.4,0.1,29.76910400390625
TAT-VPR-CLS,Tokyo247,67.93650793650794,80.31746031746032,87.93650793650794,30185533030.8,0.2,29.76910400390625
TAT-VPR-CLS,Eynsham,84.3701692082724,91.73177355337371,93.51994986421558,30185533030.8,0.2,29.76910400390625
TAT-VPR-CLS,Tokyo247,65.39682539682539,80.95238095238095,86.34920634920636,27652592845.2,0.3,29.76910400390625
TAT-VPR-CLS,Eynsham,84.03593064549823,91.48527261332777,93.30269479841236,27652592845.2,0.3,29.76910400390625
TAT-VPR-CLS,Tokyo247,66.03174603174602,79.36507936507937,85.07936507936508,25119652659.6,0.4,29.76910400390625
TAT-VPR-CLS,Eynsham,82.8076039273031,91.21788176310842,93.29016085230832,25119652659.6,0.4,29.76910400390625
TAT-VPR-CLS,Tokyo247,56.82539682539682,78.0952380952381,84.44444444444444,22586712474.0,0.5,29.76910400390625
TAT-VPR-CLS,Eynsham,80.26739085021934,90.07729266764152,92.58825987048256,22586712474.0,0.5,29.76910400390625
TAT-VPR-CLS,Tokyo247,55.55555555555556,75.55555555555556,80.31746031746032,20053772288.4,0.6,29.76910400390625
TAT-VPR-CLS,Eynsham,74.00041779820347,87.85460622519324,90.98809275120117,20053772288.4,0.6,29.76910400390625
TAT-VPR-SALAD,Pitts30k,90.22887323943662,95.4518779342723,96.86032863849763,35565128891.0,0.0,32.46039009094238
TAT-VPR-SALAD,MSLS,82.74990977986286,90.33742331288344,92.48466257668711,35565128891.0,0.0,32.46039009094238
TAT-VPR-SALAD,Tokyo247,84.76190476190476,92.6984126984127,94.92063492063492,35565128891.0,0.0,32.46039009094238
TAT-VPR-SALAD,Eynsham,89.31272195529559,93.64946730729058,94.8025903488615,35565128891.0,0.0,32.46039009094238
TAT-VPR-SALAD,Pitts30k,90.3462441314554,95.51056338028168,96.9043427230047,33067940999.8,0.1,32.46039009094238
TAT-VPR-SALAD,MSLS,82.74990977986286,90.26524720317576,92.53879465896787,33067940999.8,0.1,32.46039009094238
TAT-VPR-SALAD,Tokyo247,84.76190476190476,93.015873015873,94.92063492063492,33067940999.8,0.1,32.46039009094238
TAT-VPR-SALAD,Eynsham,89.34614581157301,93.67035721746396,94.79005640275749,33067940999.8,0.1,32.46039009094238
